time_period,population,location_name,rainfall,mean_temperature,mean_relative_humidity,parent,location
2009-09,100456,Attapeu,20.811330673091724,23.323820758836256,93.14570848128696,-,LA-AT
2009-10,100456,Attapeu,6.271489555118866,23.363954121184133,88.56858862374918,-,LA-AT
2009-11,100456,Attapeu,1.7266384068183729,23.05155056915188,76.61037308448856,-,LA-AT
2009-12,100456,Attapeu,0.0452554492233883,23.35059709441551,63.96748775920577,-,LA-AT
2010-01,100456,Attapeu,0.4876195874162066,24.08589264301192,61.95476146122925,-,LA-AT
2010-02,100456,Attapeu,0.8093491842159526,26.28461284402421,56.31510206707648,-,LA-AT
2010-03,100456,Attapeu,0.3522908177775121,26.97605831743584,54.04124258383849,-,LA-AT
2010-04,100456,Attapeu,3.0024875817723333,27.740571401942177,67.95215144321912,-,LA-AT
2010-05,100456,Attapeu,6.415432081729444,26.60611064383113,80.38975279895791,-,LA-AT
2010-06,100456,Attapeu,7.827840339436569,25.277643531653315,87.7194189230671,-,LA-AT
2010-07,100456,Attapeu,10.59966135469202,24.638334910028977,88.04962328131224,-,LA-AT
2010-08,100456,Attapeu,10.446440879017503,23.852796619663923,90.6686119842599,-,LA-AT
2009-09,88893,Bokeo,9.61136273844388,24.52677313417052,86.46303636023917,-,LA-BK
2009-10,88893,Bokeo,3.500718654690109,23.96569905047358,86.12171081583253,-,LA-BK
2009-11,88893,Bokeo,0.3171266779175733,21.201864352819296,69.51000770679089,-,LA-BK
2009-12,88893,Bokeo,0.2420949553315748,19.519546973841862,71.09716587700107,-,LA-BK
2010-01,88893,Bokeo,1.1697649900533944,20.54953718731157,70.67781380619584,-,LA-BK
2010-02,88893,Bokeo,0.2281282956957093,22.646694266586245,52.604674294657634,-,LA-BK
2010-03,88893,Bokeo,0.6265596808007499,25.263402629647288,51.07389089292571,-,LA-BK
2010-04,88893,Bokeo,3.208459384008438,28.153008636749824,52.97626789131529,-,LA-BK
2010-05,88893,Bokeo,3.300270166864105,27.89748243367509,68.47274954970841,-,LA-BK
2010-06,88893,Bokeo,8.115903621389535,26.5408036687751,76.92650620519969,-,LA-BK
2010-07,88893,Bokeo,17.340293562140044,25.04630942975436,85.89183223340356,-,LA-BK
2010-08,88893,Bokeo,16.001426868460012,24.221240172411072,89.54322304137325,-,LA-BK
2009-09,304188,Bolikhamsai,8.278548838832677,24.099252107250017,87.23872763331731,-,LA-BL
2009-10,304188,Bolikhamsai,2.282864954159177,23.486106133913903,81.78179195831166,-,LA-BL
2009-11,304188,Bolikhamsai,0.4298377294956123,19.77236969114704,68.15034656889296,-,LA-BL
2009-12,304188,Bolikhamsai,0.5466056509653251,18.68409720233772,73.17005044362102,-,LA-BL
2010-01,304188,Bolikhamsai,2.3824484143274893,18.40409315675698,81.07741717564716,-,LA-BL
2010-02,304188,Bolikhamsai,0.6776929536699773,21.477389559882862,71.82355980716612,-,LA-BL
2010-03,304188,Bolikhamsai,0.621301908739878,22.94010679295192,65.97417391626328,-,LA-BL
2010-04,304188,Bolikhamsai,2.537407252463461,25.30894005575905,74.56554044613901,-,LA-BL
2010-05,304188,Bolikhamsai,7.240726067782631,25.80016450776193,84.32267775139408,-,LA-BL
2010-06,304188,Bolikhamsai,7.645603591993627,25.22606604623525,86.12974488564069,-,LA-BL
2010-07,304188,Bolikhamsai,13.938532923743628,24.66909444055714,87.5684024353582,-,LA-BL
2010-08,304188,Bolikhamsai,20.956399706766344,23.61208975652753,91.67841221894687,-,LA-BL
2009-09,586946,Champasak,18.948853801959096,24.452481587575384,91.88684789635955,-,LA-CH
2009-10,586946,Champasak,5.313634437297456,24.532223540489884,88.46670892013339,-,LA-CH
2009-11,586946,Champasak,1.0994483285673595,24.2354830271924,74.65608236063207,-,LA-CH
2009-12,586946,Champasak,0.0573965526718728,24.246514426172364,64.25044036851166,-,LA-CH
2010-01,586946,Champasak,0.7125676305870238,24.82186340995817,63.92394264553658,-,LA-CH
2010-02,586946,Champasak,0.6721125099330332,27.03695098623137,60.24756416620419,-,LA-CH
2010-03,586946,Champasak,0.3514815038282497,28.1123122916945,54.353835997670906,-,LA-CH
2010-04,586946,Champasak,2.9585681135525888,29.05220043388716,66.37092779034876,-,LA-CH
2010-05,586946,Champasak,6.25988722727624,27.874116324043843,78.5684215128544,-,LA-CH
2010-06,586946,Champasak,7.990994990178613,26.420095335907813,86.80900150773981,-,LA-CH
2010-07,586946,Champasak,10.051842282710195,25.77115016782105,87.31018375179782,-,LA-CH
